,LifeStyle
4330,Bad
4331,Bad
4332,Bad
4333,Great
4334,Bad
4335,Bad
4336,Bad
4337,Good
4338,Average
4339,Bad
4340,Average
4341,Bad
4342,Bad
4343,Average
4344,Average
4345,Bad
4346,Bad
4347,Bad
4348,Bad
4349,Bad
4350,Bad
4351,Bad
4352,Bad
4353,Good
4354,Bad
4355,Bad
4356,Bad
4357,Bad
4358,Bad
4359,Bad
4360,Average
4361,Bad
4362,Average
4363,Bad
4364,Bad
4365,Good
4366,Good
4367,Bad
4368,Bad
4369,Bad
4370,Bad
4371,Average
4372,Bad
4373,Bad
4374,Bad
4375,Bad
4376,Bad
4377,Bad
4378,Average
4379,Good
4380,Great
4381,Bad
4382,Bad
4383,Average
4384,Bad
4385,Bad
4386,Bad
4387,Great
4388,Bad
4389,Bad
4390,Good
4391,Bad
4392,Good
4393,Bad
4394,Bad
4395,Bad
4396,Average
4397,Bad
4398,Average
4399,Bad
4400,Bad
4401,Bad
4402,Average
4403,Average
4404,Bad
4405,Bad
4406,Bad
4407,Average
4408,Bad
4409,Bad
4410,Bad
4411,Bad
4412,Average
4413,Bad
4414,Good
4415,Bad
4416,Bad
4417,Bad
4418,Bad
4419,Bad
4420,Bad
4421,Bad
4422,Bad
4423,Bad
4424,Good
4425,Bad
4426,Bad
4427,Bad
4428,Bad
4429,Bad
4430,Bad
4431,Great
4432,Bad
4433,Bad
4434,Bad
4435,Bad
4436,Average
4437,Average
4438,Bad
4439,Bad
4440,Bad
4441,Bad
4442,Bad
4443,Bad
4444,Bad
4445,Bad
4446,Bad
4447,Bad
4448,Bad
4449,Good
4450,Bad
4451,Bad
4452,Bad
4453,Good
4454,Bad
4455,Bad
4456,Average
4457,Good
4458,Bad
4459,Bad
4460,Bad
4461,Good
4462,Bad
4463,Average
4464,Bad
4465,Bad
4466,Good
4467,Great
4468,Average
4469,Bad
4470,Bad
4471,Bad
4472,Average
4473,Average
4474,Bad
4475,Bad
4476,Average
4477,Average
4478,Bad
4479,Bad
4480,Bad
4481,Bad
4482,Good
4483,Bad
4484,Great
4485,Bad
4486,Bad
4487,Bad
4488,Bad
4489,Bad
4490,Bad
4491,Bad
4492,Good
4493,Bad
4494,Bad
4495,Bad
4496,Good
4497,Average
4498,Average
4499,Bad
4500,Great
4501,Bad
4502,Average
4503,Average
4504,Average
4505,Good
4506,Bad
4507,Good
4508,Bad
4509,Average
4510,Bad
4511,Bad
4512,Bad
4513,Bad
4514,Bad
4515,Bad
4516,Bad
4517,Bad
4518,Bad
4519,Bad
4520,Bad
4521,Bad
4522,Average
4523,Average
4524,Average
4525,Bad
4526,Bad
4527,Average
4528,Bad
4529,Average
4530,Bad
4531,Good
4532,Bad
4533,Bad
4534,Average
4535,Bad
4536,Bad
4537,Bad
4538,Great
4539,Bad
4540,Bad
4541,Average
4542,Average
4543,Bad
4544,Good
4545,Bad
4546,Bad
4547,Good
4548,Bad
4549,Average
4550,Bad
4551,Average
4552,Average
4553,Bad
4554,Bad
4555,Bad
4556,Bad
4557,Bad
4558,Bad
4559,Bad
4560,Bad
4561,Bad
4562,Bad
4563,Average
4564,Bad
4565,Bad
4566,Bad
4567,Bad
4568,Average
4569,Bad
4570,Bad
4571,Bad
4572,Bad
4573,Bad
4574,Average
4575,Bad
4576,Good
4577,Bad
4578,Bad
4579,Bad
4580,Good
4581,Bad
4582,Bad
4583,Bad
4584,Average
4585,Average
4586,Bad
4587,Average
4588,Bad
4589,Bad
4590,Bad
4591,Bad
4592,Bad
4593,Bad
4594,Bad
4595,Bad
4596,Bad
4597,Average
4598,Bad
4599,Bad
4600,Bad
4601,Average
4602,Bad
4603,Good
4604,Average
4605,Great
4606,Average
4607,Bad
4608,Bad
4609,Bad
4610,Bad
4611,Bad
4612,Good
4613,Good
4614,Bad
4615,Bad
4616,Bad
4617,Bad
4618,Bad
4619,Average
4620,Bad
4621,Bad
4622,Bad
4623,Average
4624,Bad
4625,Average
4626,Average
4627,Great
4628,Bad
4629,Good
4630,Average
4631,Bad
4632,Average
4633,Bad
4634,Average
4635,Good
4636,Bad
4637,Average
4638,Bad
4639,Average
4640,Bad
4641,Bad
4642,Bad
4643,Bad
4644,Bad
4645,Average
4646,Bad
4647,Bad
4648,Bad
4649,Bad
4650,Bad
4651,Average
4652,Bad
4653,Bad
4654,Bad
4655,Bad
4656,Good
4657,Bad
4658,Bad
4659,Bad
4660,Bad
4661,Bad
4662,Bad
4663,Average
4664,Average
4665,Bad
4666,Bad
4667,Good
4668,Average
4669,Bad
4670,Bad
4671,Average
4672,Bad
4673,Average
4674,Good
4675,Average
4676,Bad
4677,Bad
4678,Bad
4679,Bad
4680,Bad
4681,Average
4682,Great
4683,Average
4684,Bad
4685,Bad
4686,Average
4687,Bad
4688,Bad
4689,Bad
4690,Bad
4691,Bad
4692,Bad
4693,Average
4694,Bad
4695,Bad
4696,Bad
4697,Bad
4698,Average
4699,Bad
4700,Good
4701,Bad
4702,Great
4703,Bad
4704,Good
4705,Bad
4706,Bad
4707,Bad
4708,Bad
4709,Bad
4710,Bad
4711,Bad
4712,Bad
4713,Bad
4714,Bad
4715,Bad
4716,Bad
4717,Bad
4718,Bad
4719,Bad
4720,Bad
4721,Bad
4722,Bad
4723,Average
4724,Average
4725,Good
4726,Bad
4727,Bad
4728,Good
4729,Bad
4730,Average
4731,Bad
4732,Bad
4733,Average
4734,Bad
4735,Bad
4736,Average
4737,Average
4738,Bad
4739,Bad
4740,Bad
4741,Bad
4742,Great
4743,Bad
4744,Bad
4745,Bad
4746,Bad
4747,Good
4748,Bad
4749,Bad
4750,Good
4751,Average
4752,Bad
4753,Bad
4754,Bad
4755,Great
4756,Bad
4757,Bad
4758,Bad
4759,Bad
4760,Great
4761,Good
4762,Average
4763,Good
4764,Bad
4765,Bad
4766,Bad
4767,Average
4768,Average
4769,Bad
4770,Bad
4771,Bad
4772,Bad
4773,Bad
4774,Bad
4775,Bad
4776,Bad
4777,Good
4778,Great
4779,Bad
4780,Bad
4781,Good
4782,Bad
4783,Average
4784,Bad
4785,Average
4786,Bad
4787,Bad
4788,Good
4789,Bad
4790,Bad
4791,Average
4792,Bad
4793,Average
4794,Great
4795,Bad
4796,Average
4797,Bad
4798,Bad
4799,Bad
4800,Bad
4801,Bad
4802,Bad
4803,Bad
4804,Bad
4805,Great
4806,Bad
4807,Average
4808,Bad
4809,Good
4810,Bad
4811,Average
4812,Bad
4813,Average
4814,Bad
4815,Bad
4816,Bad
4817,Bad
4818,Bad
4819,Bad
4820,Bad
4821,Bad
4822,Bad
4823,Average
4824,Bad
4825,Average
4826,Bad
4827,Bad
4828,Good
4829,Bad
4830,Bad
4831,Bad
4832,Bad
4833,Bad
4834,Bad
4835,Bad
4836,Bad
4837,Great
4838,Bad
4839,Bad
4840,Average
4841,Bad
4842,Bad
4843,Average
4844,Bad
4845,Bad
4846,Bad
4847,Bad
4848,Great
4849,Bad
4850,Bad
4851,Bad
4852,Good
4853,Bad
4854,Bad
4855,Bad
4856,Bad
4857,Bad
4858,Bad
4859,Average
4860,Bad
4861,Bad
4862,Bad
4863,Bad
4864,Bad
4865,Average
4866,Bad
4867,Bad
4868,Bad
4869,Bad
4870,Bad
4871,Bad
4872,Bad
4873,Great
4874,Bad
4875,Good
4876,Great
4877,Bad
4878,Bad
4879,Good
4880,Great
4881,Average
4882,Bad
4883,Bad
4884,Good
4885,Bad
4886,Bad
4887,Bad
4888,Bad
4889,Bad
4890,Bad
4891,Bad
4892,Bad
4893,Bad
4894,Average
4895,Bad
4896,Average
4897,Average
4898,Bad
4899,Bad
4900,Average
4901,Bad
4902,Bad
4903,Average
4904,Good
4905,Bad
4906,Bad
4907,Bad
4908,Average
4909,Bad
4910,Bad
4911,Great
4912,Average
4913,Bad
4914,Average
4915,Bad
4916,Bad
4917,Bad
4918,Bad
4919,Bad
4920,Bad
4921,Bad
4922,Bad
4923,Bad
4924,Bad
4925,Good
4926,Good
4927,Bad
4928,Bad
4929,Good
4930,Good
4931,Bad
4932,Bad
4933,Average
4934,Good
4935,Good
4936,Bad
4937,Bad
4938,Bad
4939,Good
4940,Good
4941,Bad
4942,Average
4943,Average
4944,Bad
4945,Good
4946,Great
4947,Bad
4948,Bad
4949,Bad
4950,Bad
4951,Bad
4952,Bad
4953,Bad
4954,Average
4955,Average
4956,Average
4957,Bad
4958,Bad
4959,Bad
4960,Average
4961,Bad
4962,Great
4963,Bad
4964,Average
4965,Great
4966,Good
4967,Bad
4968,Bad
4969,Bad
4970,Bad
4971,Average
4972,Average
4973,Bad
4974,Bad
4975,Bad
4976,Bad
4977,Bad
4978,Average
4979,Average
4980,Bad
4981,Bad
4982,Bad
4983,Bad
4984,Bad
4985,Good
4986,Good
4987,Bad
4988,Bad
4989,Bad
4990,Bad
4991,Bad
4992,Bad
4993,Bad
4994,Bad
4995,Bad
4996,Average
4997,Bad
4998,Bad
4999,Bad
